entity_id,state,last_changed
sensor.esp32_bme680_humidity,50.4,2025-03-10T05:50:46.102Z
sensor.esp32_bme680_humidity,50.3,2025-03-10T05:51:06.113Z
sensor.esp32_bme680_humidity,50.5,2025-03-10T05:51:26.115Z
sensor.esp32_bme680_humidity,50.7,2025-03-10T05:52:06.112Z
sensor.esp32_bme680_humidity,50.6,2025-03-10T05:52:26.104Z
sensor.esp32_bme680_humidity,51.0,2025-03-10T05:53:06.112Z
sensor.esp32_bme680_humidity,50.8,2025-03-10T05:53:26.108Z
sensor.esp32_bme680_humidity,51.0,2025-03-10T05:53:46.121Z
sensor.esp32_bme680_humidity,51.1,2025-03-10T05:54:06.113Z
sensor.esp32_bme680_humidity,51.2,2025-03-10T05:54:26.128Z
sensor.esp32_bme680_humidity,51.0,2025-03-10T05:55:06.114Z
sensor.esp32_bme680_humidity,51.1,2025-03-10T05:55:46.110Z
sensor.esp32_bme680_humidity,51.2,2025-03-10T05:56:06.126Z
sensor.esp32_bme680_humidity,51.1,2025-03-10T05:56:26.103Z
sensor.esp32_bme680_humidity,51.2,2025-03-10T05:57:06.120Z
sensor.esp32_bme680_humidity,51.3,2025-03-10T05:57:26.107Z
sensor.esp32_bme680_humidity,51.2,2025-03-10T05:58:46.111Z
sensor.esp32_bme680_humidity,51.3,2025-03-10T05:59:06.128Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T05:59:26.120Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:00:06.130Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T06:00:46.130Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:01:26.129Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T06:02:06.135Z
sensor.esp32_bme680_humidity,51.3,2025-03-10T06:02:46.116Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T06:03:06.124Z
sensor.esp32_bme680_humidity,51.3,2025-03-10T06:03:26.148Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:03:46.124Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:04:06.122Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T06:04:46.131Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:05:06.163Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:07:46.161Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:08:46.132Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:09:06.144Z
sensor.esp32_bme680_humidity,51.7,2025-03-10T06:09:26.126Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:09:46.146Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:10:06.157Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:10:26.140Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:10:46.134Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:11:06.148Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:11:46.144Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:12:06.151Z
sensor.esp32_bme680_humidity,51.6,2025-03-10T06:12:26.142Z
sensor.esp32_bme680_humidity,51.7,2025-03-10T06:13:26.156Z
sensor.esp32_bme680_humidity,51.5,2025-03-10T06:14:26.152Z
sensor.esp32_bme680_humidity,51.4,2025-03-10T06:14:46.144Z
sensor.esp32_bme680_humidity,51.2,2025-03-10T06:15:06.171Z
sensor.esp32_bme680_humidity,50.9,2025-03-10T06:15:26.160Z
sensor.esp32_bme680_humidity,50.6,2025-03-10T06:15:46.155Z
sensor.esp32_bme680_humidity,50.3,2025-03-10T06:16:06.154Z
sensor.esp32_bme680_humidity,50.4,2025-03-10T06:16:26.155Z
sensor.esp32_bme680_humidity,50.5,2025-03-10T06:16:46.154Z
sensor.esp32_bme680_humidity,50.1,2025-03-10T06:17:06.147Z
sensor.esp32_bme680_humidity,50.0,2025-03-10T06:17:26.152Z
sensor.esp32_bme680_humidity,50.2,2025-03-10T06:17:46.138Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T06:19:56.910Z
sensor.esp32_bme680_humidity,55.5,2025-03-10T08:47:51.933Z
sensor.esp32_bme680_humidity,55.3,2025-03-10T08:48:10.778Z
sensor.esp32_bme680_humidity,55.4,2025-03-10T08:48:30.782Z
sensor.esp32_bme680_humidity,55.2,2025-03-10T08:48:50.794Z
sensor.esp32_bme680_humidity,55.0,2025-03-10T08:49:30.789Z
sensor.esp32_bme680_humidity,55.1,2025-03-10T08:49:50.838Z
sensor.esp32_bme680_humidity,55.0,2025-03-10T08:50:10.793Z
sensor.esp32_bme680_humidity,54.9,2025-03-10T08:50:30.818Z
sensor.esp32_bme680_humidity,54.8,2025-03-10T08:50:50.789Z
sensor.esp32_bme680_humidity,54.9,2025-03-10T08:51:10.790Z
sensor.esp32_bme680_humidity,54.8,2025-03-10T08:51:30.799Z
sensor.esp32_bme680_humidity,54.7,2025-03-10T08:52:10.792Z
sensor.esp32_bme680_humidity,54.4,2025-03-10T08:53:10.800Z
sensor.esp32_bme680_humidity,54.6,2025-03-10T08:53:30.792Z
sensor.esp32_bme680_humidity,54.7,2025-03-10T08:53:50.793Z
sensor.esp32_bme680_humidity,54.6,2025-03-10T08:54:10.798Z
sensor.esp32_bme680_humidity,54.5,2025-03-10T08:54:50.816Z
sensor.esp32_bme680_humidity,54.6,2025-03-10T08:55:10.801Z
sensor.esp32_bme680_humidity,54.7,2025-03-10T08:55:30.804Z
sensor.esp32_bme680_humidity,54.8,2025-03-10T08:56:30.835Z
sensor.esp32_bme680_humidity,54.7,2025-03-10T08:56:50.833Z
sensor.esp32_bme680_humidity,54.6,2025-03-10T08:58:10.804Z
sensor.esp32_bme680_humidity,54.5,2025-03-10T08:58:50.802Z
sensor.esp32_bme680_humidity,54.6,2025-03-10T08:59:10.810Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T09:02:01.859Z
sensor.esp32_bme680_humidity,50.0,2025-03-10T22:11:21.480Z
sensor.esp32_bme680_humidity,unavailable,2025-03-10T22:12:06.137Z
sensor.esp32_bme680_humidity,49.8,2025-03-10T22:13:16.708Z
sensor.esp32_bme680_humidity,49.7,2025-03-10T22:13:30.094Z
sensor.esp32_bme680_humidity,49.8,2025-03-10T22:13:45.124Z
sensor.esp32_bme680_humidity,52.3,2025-03-10T22:13:50.253Z
sensor.esp32_bme680_humidity,58.0,2025-03-10T22:13:55.160Z
sensor.esp32_bme680_humidity,60.0,2025-03-10T22:14:00.206Z
sensor.esp32_bme680_humidity,57.1,2025-03-10T22:14:05.207Z
sensor.esp32_bme680_humidity,53.9,2025-03-10T22:14:10.121Z
sensor.esp32_bme680_humidity,53.0,2025-03-10T22:14:15.131Z
sensor.esp32_bme680_humidity,52.8,2025-03-10T22:14:20.156Z
sensor.esp32_bme680_humidity,51.1,2025-03-10T22:14:25.171Z
sensor.esp32_bme680_humidity,50.1,2025-03-10T22:14:30.177Z
sensor.esp32_bme680_humidity,49.6,2025-03-10T22:14:35.100Z
sensor.esp32_bme680_humidity,49.3,2025-03-10T22:14:40.322Z
sensor.esp32_bme680_humidity,49.1,2025-03-10T22:14:45.159Z
sensor.esp32_bme680_humidity,49.3,2025-03-10T22:14:50.145Z
sensor.esp32_bme680_humidity,49.2,2025-03-10T22:14:55.302Z
sensor.esp32_bme680_humidity,49.1,2025-03-10T22:15:00.213Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T22:15:05.123Z
sensor.esp32_bme680_humidity,49.1,2025-03-10T22:15:15.083Z
sensor.esp32_bme680_humidity,49.0,2025-03-10T22:15:20.153Z
sensor.esp32_bme680_humidity,52.7,2025-03-10T22:15:25.091Z
sensor.esp32_bme680_humidity,64.8,2025-03-10T22:15:30.190Z
sensor.esp32_bme680_humidity,64.7,2025-03-10T22:15:35.107Z
sensor.esp32_bme680_humidity,57.8,2025-03-10T22:15:40.143Z
sensor.esp32_bme680_humidity,53.7,2025-03-10T22:15:45.139Z
sensor.esp32_bme680_humidity,52.0,2025-03-10T22:15:50.156Z
sensor.esp32_bme680_humidity,50.7,2025-03-10T22:15:55.135Z
sensor.esp32_bme680_humidity,49.9,2025-03-10T22:16:00.090Z
sensor.esp32_bme680_humidity,49.7,2025-03-10T22:16:05.103Z
